epoch,train_loss,val_loss
1,0.1636367022594964,0.13950407261099382
2,0.14784080871292926,0.13976643553197127
3,0.14395153069268637,0.13718691413148074
4,0.14143245606847824,0.13951854494448115
5,0.13924714299380753,0.13624244542097466
6,0.137448631561311,0.13537120003654513
7,0.1361549963241077,0.13621645391806964
8,0.13492502575283266,0.1368198676731348
9,0.13347413088047672,0.1350547072569337
10,0.13247189084925962,0.13677548681702006
11,0.13092891294714612,0.13585255789731268
12,0.12943822386251164,0.1363876134647457
13,0.12790705375011008,0.1385868131830071
14,0.1262324654225928,0.13968266141281255
15,0.12438977118235793,0.1384376540004929
16,0.12132066898006257,0.14203813295211506
17,0.12019440356313041,0.14019267020385173
18,0.11930031380070288,0.1417015425657297
19,0.11799443153891193,0.1422671871520823
20,0.11685830485750051,0.14253549382684857
21,0.11578213094111758,0.1453002993541555
