dataset,MAE,MSE,RMSE,R2
validation,0.00812549701723795,0.0002894737161580067,0.01701392712333066,0.5437498802701106
test,0.008488266671258854,0.00024875179426000907,0.01577186717735123,-0.31667855211953766
