dataset,MAE,MSE,RMSE,R2
validation,0.0012174921127844848,3.4591057317106934e-06,0.0018598671274342943,0.999735670958483
test,0.0016519239861773017,1.199987379680294e-05,0.0034640833992274117,0.9991028460048479
