model,config,r2_log,rmse_log,mae_log,accuracy_log_percent,r2_mm,rmse_mm,mae_mm,accuracy_mm_percent,train_time_s
XGBoost,unscaled,0.8110606382378931,0.42762025905998763,0.25175194568997994,81.10606382378931,0.476609800173582,5.930532065433907,1.9378611720572858,47.6609800173582,6.879973888397217
RandomForest,unscaled,0.794682293276942,0.4457693998272858,0.26277594987648856,79.46822932769419,0.38656389590225615,6.420450938486572,2.052831819729925,38.656389590225615,31.668599605560303
LSTM/GRU,scaled (RobustScaler),0.4466109695319229,0.7318335635677219,0.5003442645236117,44.66109695319229,0.1315451072907896,7.639316410225139,2.6973909056371905,13.154510729078961,250.1098997592926
Prophet,unscaled (per-province time series),0.2672107865818978,0.8421444372214606,0.6398004286864516,26.72107865818978,0.06893237268160746,7.9099088430835005,3.039221448016462,6.893237268160746,22.048067331314087
