dataset,MAE,MSE,RMSE,R2
validation,0.00812563633954038,0.0002894943336761344,0.017014533013754284,0.5437173842451204
test,0.008488176491971209,0.0002487306212809945,0.01577119593692864,-0.3165664805365531
